Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,Crear Producto,312,0,120.0,204.71579473713484,20.32453100036946,1237.8316380018077,40.0,5.224175129784412,0.0,120,200,250,300,540,700,930,1100,1200,1200,1200
GET,Listar Productos,948,0,120.0,212.73244688603774,18.336314999032766,1558.7698310009728,7720.0,15.873455202037254,0.0,120,200,240,290,530,740,1000,1200,1600,1600,1600
,Aggregated,1260,0,120.0,210.74737111583315,18.336314999032766,1558.7698310009728,5818.285714285715,21.097630331821666,0.0,120,200,240,290,530,720,1000,1200,1500,1600,1600
