Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,Crear Producto,1012,0,31,74.46805332115991,13.773730999673717,2910.494394000125,40.0,5.741184475535814,0.0,31,44,58,68,98,150,290,1300,2900,2900,2900
GET,Listar Productos,3156,0,29,74.19169385423334,12.228840998432133,3069.8889550003514,7711.0,17.904326289319197,0.0,29,43,56,65,96,150,450,1200,2900,3100,3100
,Aggregated,4168,0,30,74.25879456933156,12.228840998432133,3069.8889550003514,5848.463531669866,23.64551076485501,0.0,30,43,56,65,97,150,370,1300,2900,3100,3100
