Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,Crear Producto,311,0,35,138.46754353059282,14.644045000750339,4920.86497100172,40.0,5.191348500592946,0.0,35,51,75,92,220,350,1300,2900,4900,4900,4900
GET,Listar Productos,1000,0,35,180.09603175403026,13.63050800136989,5017.426056001568,7720.0,16.692438908658993,0.0,35,52,72,100,230,440,2700,3400,5000,5000,5000
,Aggregated,1311,0,35,170.22077634786012,13.63050800136989,5017.426056001568,5898.12356979405,21.883787409251937,0.0,35,52,72,95,220,390,2700,3300,4900,5000,5000
