Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,Crear Producto,302,0,160.0,322.2976133973688,23.727620002318872,1882.1411419994547,40.0,5.033814835511527,0.0,160,270,360,460,830,1300,1400,1600,1900,1900,1900
GET,Listar Productos,912,0,160.0,289.77989821495,15.89211600003182,2272.862213998451,7720.0,15.201454072803022,0.0,160,240,350,410,750,1100,1300,1700,2300,2300,2300
,Aggregated,1214,0,160.0,297.8691486145304,15.89211600003182,2272.862213998451,5809.489291598023,20.23526890831455,0.0,160,250,350,420,770,1100,1400,1700,1900,2300,2300
