Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,Crear Producto,341,0,28,43.6847992289071,16.235170998697868,274.9381879984867,40.0,5.689096958299491,0.0,28,42,49,56,81,110,180,240,270,270,270
GET,Listar Productos,1038,0,27,43.27760714843587,13.483244998496957,352.97309900124674,7720.0,17.31754440678848,0.0,27,36,47,57,91,130,180,220,320,350,350
,Aggregated,1379,0,27,43.37829786594181,13.483244998496957,352.97309900124674,5820.884699057288,23.00664136508797,0.0,27,37,48,57,88,120,180,220,320,350,350
