Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,Crear Producto,338,0,29,49.50468241424686,14.58683300006669,280.0489159999415,40.0,5.634682030307363,0.0,29,41,52,73,120,160,200,210,280,280,280
GET,Listar Productos,1039,0,26,44.37677923587522,12.598588000400923,279.63026100042043,7720.0,17.3208125132821,0.0,26,40,51,62,100,140,170,200,250,280,280
,Aggregated,1377,0,27,45.63548023390689,12.598588000400923,280.0489159999415,5834.858387799564,22.955494543589463,0.0,27,40,51,63,100,150,190,210,280,280,280
